crn,consultant_name,email,phone,city,state,zipcode,schools_served,total_applications,latest_funding_year
16024740,Alemar Consulting,friedman@alemarconsulting.com,610-999-9935,Broomall,PA,19008,13,305,2026
16024741,AdTec-Administrative and Technical Consulting,info@adtecerate.com,765-855-1612,CENTERVILLE,IN,47330,822,20304,2026
16024799,"Clarity Solutions, Inc.",brian@erate4schools.com,704-366-8990,Charlotte,NC,28211,33,621,2026
16024800,CRW Consulting,info@crwconsulting.com,918-445-0048,Tulsa,OK,74170,393,8744,2026
16024803,"E-Rate Elite Services, Inc.",clenhardt@erateelite.com,410-902-5800,Owings Mills,MD,21117,149,3057,2026
16024804,"eRate Solutions, L.L.C.",eddieholt@eratesolutions.com,866-333-7283,Lawrence,KS,66044,311,6860,2026
16024807,Educational Consortium for Telecom Savings,,215-504-5380,Newtown,PA,18940,600,5806,2026
16024808,Funds for Learning,jharrington@fundsforlearning.com,405-341-4140,Edmond,OK,73013,575,15482,2026
16024809,Kellogg & Sovereign Consulting,info@kelloggllc.com,580-332-1444,Dallas,TX,75234,497,2670,2026
16024810,"NvLS Professional Services, LLC",nancyvls@nvls-erate.com,858-271-8585,San Diego,CA,92131,58,1699,2026
16024811,ONeal Consulting,noneal@ocerate.com,888-416-8389,Cicero,NY,13039,376,7347,2026
16043561,Innovate Technology LLC,ronalddunworth@gmail.com,303-507-5301,Windsor,CO,80550,1,18,2025
16043564,CSM Consulting Inc.,kfriends@csmcentral.com,909-652-9104,Ontario,CA,91764,555,16119,2026
16043565,Central Susquehanna Intermediate Unit,jfausey@csiu.org,570-523-1155,Milton,PA,17847,61,2322,2026
16043571,Convergent Technology Partners,info@ctpartners.net,810-720-3820,Swartz Creek,MI,48473,203,2193,2026
16043573,CTI eRate Services,heatherb@ctierate.com,866-858-2202,North Port,FL,34287,347,2256,2026
16043575,"Data Core Engineering, Inc.",gberman@datacoreeng.com,651-604-3200,Roseville,MN,55113,3,82,2025
16043577,Designs for Learning,tkemen@designlearn.net,651-255-8838,St Paul,MN,55114,20,382,2026
16043579,Eastern Oklahoma E-Rate Service,eratemone4u@yahoo.com,918-441-3538,Council Hill,OK,74428,61,1514,2026
16043580,Dynamic Strategies LLC,cmclaughlin@dynamicstrategiesllc.com,334-221-6124,Sylacauga,AL,35151,3,85,2024
16043582,eDimension LLC,russ@edimension.us,951-525-8760,Riverside,CA,92504,30,293,2026
16043584,"Education Partners Solution, Inc.",gifford@eps4.com,281-494-0187,Sugar Land,TX,77479,15,848,2026
16043587,Educational Funding Group,skaplan@naa.com,216-831-2626,Cleveland,OH,44124,194,2786,2026
16043588,Elert & Associates,ron.bundy@elert.com,651-430-2772,Stillwater,MN,55082,7,194,2025
16043589,Elite Fund Inc,,800-705-9703,Stanton,MI,48888,414,9391,2026
16043592,E-Rate Complete,Erin@eratecomplete.com,605-670-2702,Sioux Center,IA,51250,177,3038,2026
16043594,E-Rate Consulting Inc.,info@erateconsulting.com,973-200-4815,Montclair,NJ,07042,218,4439,2026
16043595,"e2e Exchange, LLC",erate@erateexchange.com,315-422-7608,Southlake,TX,76092,661,3134,2026
16043598,E Rate Solutions Group Inc,kweiss@erategroup.com,732-946-8300,Colts Neck,NJ,07722,292,6008,2026
16043602,Evans Consulting,willevans@sbcglobal.net,832-754-3805,Houston,TX,77035,13,235,2026
16043603,Garren Shay Associates,scott@garrenshay.com,802-779-0455,Cuttingsville,VT,05738,1,4,2017
16043605,"Infinity Communications and Compliance, Inc.",erateadmin@infinitycomm.com,661-716-1840,Bakersfield,CA,93312,563,113,2026
16043607,"Integra Consulting & Computer Services, Inc",rosanne@integraservices.com,631-969-2500,Bay Shore,NY,11706,21,323,2025
16043610,"Janice Meyers Educational Consulting, LLC",janice@jhmedu.com,914-715-2466,Cary,NC,27519,48,78,2026
16043612,K12 Consultants,hugh@k12-consultants.com,724-350-4380,Fort Myers Beach,FL,33931,68,2005,2026
16043626,"The Kendrick Group, LLC",kendrick@educationrate.com,260-969-2711,Ft. Wayne,IN,46818,16,98,2025
