spin,company_name,status,phone,mailing_address,mailing_city,mailing_state,mailing_zip,physical_address,physical_city,physical_state,physical_zip,last_updated
143000003,"Global Crossing Local Services, Inc.",Closed,null-null,180 S. Clinton Ave.,Rochester,NY,14646,180 S. Clinton Ave.,Rochester,NY,14646,2024-06-27T21:14:00.000
143000005,"GST Telecom Arizona, Inc.",Closed,360-892-6660,9300 NE Oak View Drive,Vancouver,WA,98662,9300 NE Oak View Drive,Vancouver,WA,98662,2024-06-27T21:14:00.000
143000006,"MetroComm  AxS, L.P.",Closed,614-255-2000,50 West Broad St.,Columbus,OH,43215,50 West Broad St.,Columbus,OH,43215,2024-06-27T21:14:00.000
143000007,GST Telecom Inc.,Closed,360-892-6660,9300 NE Oak View Dr. Suite A,Vancouver,WA,98662,9300 NE Oak View Dr. Suite A,Vancouver,WA,98662,2024-06-27T21:14:00.000
143000009,"TelCove of Jacksonville, Inc.",Closed,814-260-2413,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:14:00.000
143000010,Multimedia Hyperion Telecommunications,Closed,814-260-2417,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:14:00.000
143000011,Time Warner Telecom Inc.,Active,303-566-1585,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:14:00.000
143000012,Time Warner Communications of Charlotte L.P.,Closed,303-566-1557,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:14:00.000
143000013,"Cox Virginia Telcom, LLC",Active,404-269-8154,6205-B Peachtree Dunwoody Rd,Atlanta,GA,30328,6205-B Peachtree Dunwoody Rd,Atlanta,GA,30328,2023-11-03T18:18:00.000
143000014,"Cox California Telcom, LLC",Active,404-269-8154,6205-B Peachtree Dunwoody Rd,Atlanta,GA,30328,6205-B Peachtree Dunwoody Rd,Atlanta,GA,30328,2023-08-22T15:39:00.000
143000015,MCI Inc.,Closed,312-470-5056,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:14:00.000
143000016,MCI Inc.,Closed,312-470-5056,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:14:00.000
143000017,MCI Inc.,Closed,312-470-5056,22001 Loudon County Parkway,Ashburn,VA,21047,22001 Loudon County Parkway,Ashburn,VA,21047,2024-06-27T21:15:00.000
143000018,"TelCove of Nashville, LP",Closed,814-260-2413,712 North Main Street,Coudersport,PA,16915,712 North Main Street,Coudersport,PA,16915,2024-06-27T21:15:00.000
143000020,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County PKWY,Ashburn,VA,20147,22001 Loudon County PKWY,Ashburn,VA,20147,2024-06-27T21:15:00.000
143000021,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:15:00.000
143000022,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:15:00.000
143000023,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Parkway,Ashburn,VA,20147,22001 Loudon County Parkway,Ashburn,VA,20147,2024-06-27T21:15:00.000
143000024,MCI LLC & Subsidiaries,Closed,312-470-5588,22001 Loudon County Pkwy,Ashburn,VA,20147,22001 Loudon County Pkwy,Ashburn,VA,20147,2024-06-27T21:15:00.000
143000025,"tw Telecom of hawaii, lp",Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:15:00.000
143000026,tw telecom of texas llc,Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:15:00.000
143000028,"tw Telecom of North Carolina, l.p.",Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:15:00.000
143000029,"TW Telecom of  New York, LP",Closed,303-566-1261,10475 Park Meadows Drive,Littleton,CO,80124,10475 Park Meadows Drive,Littleton,CO,80124,2024-06-27T21:15:00.000
143000030,"American Comm. Services of Spartanburg, Inc. d/b/a e.spire",Closed,301-361-4200,12975 Worldgate Drive,Herndon,VA,20170,12975 Worldgate Drive,Herndon,VA,20170,2024-06-27T21:15:00.000
